Link, Anchor Text
"http://www.data-avalanche.org/", 
"http://www.data-avalanche.org/now", CURRENT CONDITIONS
"http://www.data-avalanche.org/explore", EXPLORE THE DATABASE
"http://www.data-avalanche.org/danger", Avalanche toolbox
"http://www.data-avalanche.org/understand", Better understanding
"http://www.data-avalanche.org/about", About us
"http://www.data-avalanche.org/explore?winter=2018#", ✛
"http://www.data-avalanche.org/explore?lang=fr", FR
"http://www.data-avalanche.org/avalanche/1541284261634", 
01/11/2018 Pyrénées-Cerdagne Itinéraire à travers la station de ski de La Masella (fermée) jusqu'à la Tosa de Alp et abaissé par les couloirs nord.
Avalanche accidentelle de plaque de vent friable, rupture de 40 cm et 10 m de large, au milieu d'un couloir orienté vers le nord  

"http://leafletjs.com/", Leaflet
"http://www.ign.fr/", IGN
"https://opt-out.ferank.eu/", Cookies manager by tarteaucitron.js
"https://opt-out.ferank.eu/service/gajs/",            Read more       
"https://support.google.com/analytics/answer/6004245",            View the official website       
